year,district,crop,yield_c_ha,source
2006,Зерендинский,rapeseed,7.42,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2006,Зерендинский,flax,5.3,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2007,Зерендинский,spring_wheat,14.63,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2007,Зерендинский,barley,15.37,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2007,Зерендинский,oats,14.84,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2007,Зерендинский,sunflower,6.15,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2007,Зерендинский,rapeseed,8.27,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2007,Зерендинский,flax,5.83,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2008,Зерендинский,spring_wheat,11.02,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2008,Зерендинский,barley,11.87,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2008,Зерендинский,oats,11.45,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2008,Зерендинский,sunflower,4.77,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2008,Зерендинский,rapeseed,6.36,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2008,Зерендинский,flax,4.45,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2009,Зерендинский,spring_wheat,12.93,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2009,Зерендинский,barley,13.78,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2009,Зерендинский,oats,13.25,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2009,Зерендинский,sunflower,5.3,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2009,Зерендинский,rapeseed,7.21,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2009,Зерендинский,flax,5.09,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2010,Зерендинский,spring_wheat,8.27,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2010,Зерендинский,barley,9.01,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2010,Зерендинский,oats,8.48,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2010,Зерендинский,sunflower,4.03,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2010,Зерендинский,rapeseed,5.51,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2010,Зерендинский,flax,3.71,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2011,Зерендинский,spring_wheat,17.49,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2011,Зерендинский,barley,18.23,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2011,Зерендинский,oats,19.08,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2011,Зерендинский,sunflower,6.89,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2011,Зерендинский,rapeseed,9.01,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2011,Зерендинский,flax,7.21,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2012,Зерендинский,spring_wheat,9.12,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2012,Зерендинский,barley,9.96,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2012,Зерендинский,oats,9.54,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2012,Зерендинский,sunflower,4.45,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2012,Зерендинский,rapeseed,6.15,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2012,Зерендинский,flax,4.24,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2013,Зерендинский,spring_wheat,13.14,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2013,Зерендинский,barley,13.89,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2013,Зерендинский,oats,13.36,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2013,Зерендинский,sunflower,5.83,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2013,Зерендинский,rapeseed,7.63,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2013,Зерендинский,flax,5.51,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2014,Зерендинский,spring_wheat,12.72,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2014,Зерендинский,barley,13.57,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2014,Зерендинский,oats,12.93,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2014,Зерендинский,sunflower,6.25,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2014,Зерендинский,rapeseed,7.95,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2014,Зерендинский,flax,5.83,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2015,Зерендинский,spring_wheat,13.36,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2015,Зерендинский,barley,14.2,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2015,Зерендинский,oats,13.67,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2015,Зерендинский,sunflower,6.68,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2015,Зерендинский,rapeseed,8.48,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2015,Зерендинский,flax,6.15,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2016,Зерендинский,spring_wheat,13.99,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2016,Зерендинский,barley,14.84,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2016,Зерендинский,oats,16.96,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2016,Зерендинский,sunflower,9.86,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2016,Зерендинский,rapeseed,9.54,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2016,Зерендинский,flax,6.36,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2017,Зерендинский,spring_wheat,14.31,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2017,Зерендинский,barley,15.16,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2017,Зерендинский,oats,14.1,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2017,Зерендинский,sunflower,10.81,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2017,Зерендинский,rapeseed,11.13,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2017,Зерендинский,flax,6.89,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
